Country,pts,gdppc,pop,exp_gdp,gdp
Türkiye,1.338,31752.91,84.68,31.198,2953.94
Turkmenistan,1.413,16082.94,6.152,10.748,108.69
Tuvalu,0.25,4840.27,0.011,94.723,0.06
Uganda,1.312,2530.62,42.46,21.806,118.05
Ukraine,1.775,13039.97,41.077,40.266,588.45
United Arab Emirates,1.517,64697.99,10.187,28.896,724.07
United States,1.738,63014.33,332.183,42.364,
Uruguay,1.61,22058.27,3.543,30.918,85.86
Uzbekistan,1.775,7814.55,34.559,30.631,296.69
Vanuatu,1.054,2469.95,0.312,44.114,0.85
Venezuela,0.696,5558.47,27.586,10.547,168.46
Vietnam,0.966,10479.70,98.499,22.086,1134.02
Yemen,0.897,1818.16,30.911,9.288,61.74
Zambia,1.588,3239.65,19.456,31.624,69.25
Zimbabwe,1.217,2151.97,15.492,19.147,36.63
,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2022",,,,,
