Country,Points,Continent,GDP
Germany West Germany Germany,2.567,UEFA,"4,888.36"
Ghana,1.725,CAF,196.05
Greece,1.478,UEFA,344.17
Grenada,0.931,CONCACAF,1.89
Guatemala,1.492,CONCACAF,167.792
Guinea,1.469,CAF,39.195
Guinea-Bissau,0.95,CAF,4.865
Guyana,0.789,CONCACAF,19.979
Haiti,1.505,CONCACAF,36.096
Honduras,1.53,CONCACAF,62.919
Hong Kong,1.086,AFC,488.461
Hungary,1.644,UEFA,361.996
Iceland,0.966,UEFA,22.115
India,0.941,AFC,"10,193.54"
Indonesia Dutch East Indies,0.937,AFC,"3,566.26"
Iran,2.13,AFC,"1,449.33"
Iraq,1.63,AFC,447.904
"Israel Palestine, British Mandate",1.288,UEFA,437.075
Italy,2.237,UEFA,"2,734.61"
Jamaica,1.263,CONCACAF,29.802
Japan,2,AFC,"5,606.55"
Jordan,1.436,AFC,112.463
Kazakhstan,0.735,UEFA,543.437
Kenya,1.23,CAF,276.281
South Korea,2.126,AFC,"2,517.13"
Kosovo,0.333,UEFA,23.056
Kuwait,1.703,AFC,213.164
Kyrgyzstan,1.282,AFC,35.256
Laos,0.464,AFC,62.642
Latvia,0.953,UEFA,65.589
Lesotho,0.615,CAF,5.846
Liberia,1,CAF,7.959
Libya,1.339,CAF,147.144
Lithuania,0.864,UEFA,119.865
Luxembourg,0.239,UEFA,83.704
Macau,0.378,AFC,48.591
Madagascar,1.143,CAF,46.447
Malawi,0.985,CAF,32.444
Malaysia,1.188,AFC,971.274
Maldives,0.75,AFC,10.365
Mali,1.458,CAF,51.033
Malta,0.188,UEFA,25.808
Mauritania,0.5,CAF,26.943
Mauritius,0.3,CAF,28.157
Mexico,2.138,CONCACAF,"2,669.06"
Moldova,0.412,UEFA,39.102
Mongolia,0.792,AFC,42.915
Montenegro,1.3,UEFA,14.104
Morocco,1.79,CAF,333.242
Mozambique,1,CAF,43.231
Myanmar,0.773,AFC,238.301
Namibia,0.94,CAF,25.399
Nepal,0.579,AFC,126.44
Netherlands,2.17,UEFA,"1,095.45"
New Zealand,1.882,OFC,238.148
Nicaragua,1.12,CONCACAF,42.437
Niger,1.083,CAF,32.928
Nigeria,1.946,CAF,"1,154.07"
North Macedonia Macedonia,1.042,UEFA,37.21
Norway,1.324,UEFA,383.373
Oman,1.568,AFC,170.396
Pakistan,0.125,AFC,"1,332.56"
Panama,1.228,CONCACAF,138.809
Papua New Guinea,1.269,OFC,35.149
Paraguay,1.419,CONMEBOL,100.901
Peru,1.137,CONMEBOL,474.373
Philippines,0.897,AFC,"1,012.71"
Poland,1.75,UEFA,"1,437.81"
Portugal,1.906,UEFA,379.694
Puerto Rico,0.966,CONCACAF,120.513
Qatar,1.617,AFC,274.249
Republic of Ireland Ireland Irish Free State,1.477,UEFA,570.717
Romania,1.775,UEFA,651.635
Russia Soviet Union,2.112,UEFA,"4,494.22"
Rwanda,0.773,CAF,33.111
Samoa Western Samoa,1.077,OFC,1.162
San Marino,0.026,UEFA,2.22
