year, gini , top5 ,,,,,,,,,,,,,,,
" 1,992.00 ", 60.87 , 21.95 ,,,,,,,,,,,,,,,
" 1,993.00 ", 60.33 , 22.10 ,,,,,,,,,,,,,,,
" 1,994.00 ", 60.13 , 22.52 ,,,,,,,,,,,,,,,
" 1,995.00 ", 59.66 , 22.29 ,,,,,,,,,,,,,,,
" 1,996.00 ", 59.24 , 22.33 ,,,,,,,,,,,,,,,
" 1,997.00 ", 59.13 , 22.51 ,,,,,,,,,,,,,,,
" 1,998.00 ", 59.09 , 22.92 ,,,,,,,,,,,,,,,
" 1,999.00 ", 58.86 , 23.21 ,,,,,,,,,,,,,,,
" 2,000.00 ", 58.82 , 23.15 ,,,,,,,,,,,,,,,
" 2,001.00 ", 58.30 , 22.91 ,,,,,,,,,,,,,,,
" 2,002.00 ", 57.76 , 22.76 ,,,,,,,,,,,,,,,
" 2,003.00 ", 57.18 , 22.69 ,,,,,,,,,,,,,,,
" 2,004.00 ", 56.60 , 22.52 ,,,,,,,,,,,,,,,
" 2,005.00 ", 55.94 , 22.34 ,,,,,,,,,,,,,,,
" 2,006.00 ", 55.21 , 21.94 ,,,,,,,,,,,,,,,
" 2,007.00 ", 54.30 , 21.31 ,,,,,,,,,,,,,,,
" 2,008.00 ", 53.50 , 20.76 ,,,,,,,,,,,,,,,
" 2,009.00 ", 51.82 , 20.36 ,,,,,,,,,,,,,,,
" 2,010.00 ", 51.16 , 19.96 ,,,,,,,,,,,,,,,
" 2,011.00 ", 50.67 , 19.63 ,,,,,,,,,,,,,,,
" 2,012.00 ", 50.04 , 19.54 ,,,,,,,,,,,,,,,
" 2,013.00 ", 49.41 , 19.37 ,,,,,,,,,,,,,,,
" 2,014.00 ", 48.84 , 19.30 ,,,,,,,,,,,,,,,
" 2,015.00 ", 48.44 , 19.36 ,,,,,,,,,,,,,,,
" 2,016.00 ", 47.85 , 19.18 ,,,,,,,,,,,,,,,
" 2,017.00 ", 47.48 , 19.04 ,,,,,,,,,,,,,,,
" 2,018.00 ", 47.22 , 19.03 ,,,,,,,,,,,,,,,
" 2,019.00 ", 47.11 , 19.00 ,,,,,,,,,,,,,,,
" 2,020.00 ", 47.10 , 19.01 ,,,,,,,,,,,,,,,
" 1,950.00 ", 46.73 , 24.83 ,,,,,,,,,,,,,,,
" 1,951.00 ", 46.69 , 24.87 ,,,,,,,,,,,,,,,
" 1,952.00 ", 46.71 , 25.05 ,,,,,,,,,,,,,,,
" 1,953.00 ", 46.65 , 24.95 ,,,,,,,,,,,,,,,
" 1,954.00 ", 46.66 , 24.53 ,,,,,,,,,,,,,,,
" 1,955.00 ", 45.97 , 24.27 ,,,,,,,,,,,,,,,
" 1,956.00 ", 45.31 , 23.81 ,,,,,,,,,,,,,,,
" 1,957.00 ", 45.11 , 23.67 ,,,,,,,,,,,,,,,
" 1,958.00 ", 44.70 , 23.31 ,,,,,,,,,,,,,,,
